description,font,color_palette,font_encoded,color_palette_encoded,description_sequence,description_length,contains_modern,contains_minimalist,contains_vintage,contains_bold,contains_elegant,palette_complexity,cluster
An elegant jewelry store website,Jim Nightshade,"#5636fc,#604965,#a1170d,#09fb33,#a76479",41,24,[ 3 20 54 21  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],32,0,0,0,0,1,5,1
A rustic organic farm brochure,M PLUS Code Latin,"#99d54b,#efc017,#ddf9bb,#47be48,#58da7b",52,41,[ 2 22 96 97 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],30,0,0,0,0,0,5,0
A futuristic AI tech conference poster,Zilla Slab,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9",97,20,[ 2 23 98 10 99  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0],38,0,0,0,0,0,5,0
A cheerful birthday party invitation,Edu AU VIC WA NT Dots,"#bceb1c,#d99730,#de5aba,#219ca7,#fccb83",29,53,"[  2  55 100 101  16   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",36,0,0,0,0,0,5,1
A creative digital marketing agency site,Noto Sans Georgian,"#32549b,#369bdd,#09359c,#c1654f,#d9d238",61,15,"[  2  56  57 102  36   7   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",40,0,0,0,0,0,5,0
A luxury hotel booking website,Bad Script,"#98e74b,#20a3f4,#c4595f,#a43db6,#1ed60c",12,40,"[  2  58 103 104   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",30,0,0,0,0,0,5,1
An eco-friendly product flyer,Redacted,"#14af2f,#aac1d3,#5a7d0d,#1ecb92,#65c3d1",83,8,[ 3 59 60 17  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],29,0,0,0,0,0,5,0
A stylish personal fitness trainer website,Tiro Telugu,"#bcc8a8,#dda9b6,#7875b5,#2d2be2,#9ec046",91,51,"[  2  61  24  37 105   4   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",42,0,0,0,0,0,5,0
A tech gadgets review blog,Cantata One,"#1f0542,#bad284,#d24b42,#e67979,#80d940",21,9,"[  2  10 106 107  11   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",26,0,0,0,0,0,5,1
A traditional cultural festival flyer,Noto Serif Myanmar,"#def0c2,#e604e7,#0f521a,#b52dce,#cf23a4",70,58,"[  2 108 109  35   5   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",37,0,0,0,0,0,5,0
A vibrant summer camp poster,Noto Sans Mandaic,"#14af2f,#aac1d3,#5a7d0d,#1ecb92,#65c3d1",64,8,"[  2  14 110 111   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",28,0,0,0,0,0,5,0
An artistic photography gallery site,Caprasimo,"#6779b6,#c2610f,#0ea5e3,#4b906a,#cd97bc",22,28,"[  3  62  29 112   7   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",36,0,0,0,0,0,5,1
A professional job portal website,Playwrite AU NSW,"#716065,#9a8eaa,#972c09,#f8b974,#d54611",78,31,"[  2  30 113  63   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,0
A funky online comic store,Arima,"#06a971,#b63c8f,#3c43ca,#e41fe2,#4583c9",10,5,"[  2 114  64 115  21   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",26,0,0,0,0,0,5,1
A serene meditation app interface,Overlock,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9",74,20,"[  2  65 116  15  66   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,0
A sophisticated wine label design,Molengo,"#def0c2,#e604e7,#0f521a,#b52dce,#cf23a4",58,58,"[  2 117  67 118  25   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,0
A dynamic sports event poster,Playwrite CO,"#8ed882,#e27e9d,#f56541,#ee8a90,#8f21f2",80,39,"[  2  38 119  39   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",29,0,0,0,0,0,5,0
A cozy home decor catalog,Kings,"#22c7f6,#9f48ae,#dd025d,#c549ae,#069546",44,10,"[  2  48 120 121  40   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",25,0,0,0,0,0,5,1
A trendy vegan food blog,Copse,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9",27,20,"[  2  68 122 123  11   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",24,0,0,0,0,0,5,1
An adventurous outdoor travel website,Antic,"#fc0aa5,#2d87dd,#8b771a,#f7ec89,#1e2bf4",8,62,"[  3  69 124  51   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",37,0,0,0,0,0,5,1
A creative ad agency portfolio,Unbounded,"#a064ef,#e9301b,#3f4268,#8d33b8,#db57a6",93,42,[ 2 56  8 36 13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],30,0,0,0,0,0,5,0
A luxurious skincare product packaging,Cactus Classical Serif,"#6779b6,#c2610f,#0ea5e3,#4b906a,#cd97bc",20,28,"[  2  70 125  17 126   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",38,0,0,0,0,0,5,1
A community event invitation flyer,Marck Script,"#71c802,#1ba3fc,#dec294,#037e4b,#34236a",53,33,[ 2 71 39 16  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],34,0,0,0,0,0,5,0
A futuristic car showroom website,Klee One,"#5636fc,#604965,#a1170d,#09fb33,#a76479",45,24,"[  2  23  72 127   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,1
A high-energy fitness app,Playwrite HR Lijeva,"#bce76f,#437a9e,#691344,#617e9f,#a26837",81,52,"[  2 128  73  37  15   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",25,0,0,0,0,0,5,0
A soothing spa and wellness site,IBM Plex Sans Thai Looped,"#375818,#0aeacc,#fc2383,#b96ac0,#8bfa8f",39,19,"[  2 129 130  19 131   7   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,1
A chic fashion runway invite,Akatab,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9",1,20,"[  2  74  47 132  26   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",28,0,0,0,0,0,5,1
A rustic bakery menu,Tiro Tamil,"#03f1c6,#5da284,#c5e716,#98c929,#c7ac09",90,2,"[  2  22 133  18   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",20,0,0,0,0,0,5,0
A youthful gaming tournament poster,Playwrite AU VIC,"#046429,#7aa7fb,#1ee63e,#9d719a,#0a7410",79,3,"[  2  41 134 135   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,0
An urban streetwear brand website,Adamina,"#8567aa,#82f82e,#afe769,#b27c0b,#96fca1",0,38,"[  3  75 136  27   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,1
A festive holiday season flyer,Play,"#01e621,#1e404c,#382607,#4addc2,#da30b2",77,1,"[  2 137  76 138   5   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",30,0,0,0,0,0,5,0
A modern architect portfolio,Libre Barcode 128,"#29a80e,#59fb35,#810a48,#e4de60,#66748c",49,13,"[  2   9 139  13   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",28,1,0,0,0,0,5,0
A colorful art supplies catalog,Noto Sans Gujarati,"#03f1c6,#5da284,#c5e716,#98c929,#c7ac09",62,2,"[  2  32 140 141  40   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",31,0,0,0,0,0,5,0
An edgy tattoo studio website,Bigshot One,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9",17,20,"[  3  77 142 143   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",29,0,0,0,0,0,5,1
A vibrant floral shop brochure,Noto Sans Gunjala Gondi,"#b5d05f,#04ada2,#e8fdf6,#7ec631,#b235cc",63,48,"[  2  14 144  46  12   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",30,0,0,0,0,0,5,0
A tropical island vacation ad,Noto Sans Saurashtra,"#a86455,#af9ba0,#160068,#bd9b1b,#8a2c56",65,45,"[  2 145 146 147   8   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",29,0,0,0,0,0,5,0
A historic museum exhibit poster,Edu NSW ACT Foundation,"#26c0e6,#512d8e,#ed90b7,#11fea3,#163a24",30,12,"[  2 148 149 150   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,1
A futuristic VR app interface,Alata,"#82f87a,#0d1fa8,#96016b,#1a71dc,#4c13ab",2,37,"[  2  23 151  15  66   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",29,0,0,0,0,0,5,1
An elegant minimalist resume template,Noto Serif Grantha,"#5f0329,#e648a9,#bec4cc,#b35de6,#f2bc6b",67,26,"[  3  20  28 152 153   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",37,0,1,0,0,1,5,0
A motivational personal blog,Halant,"#0947b4,#a8285f,#6d8732,#51dcb8,#59ce34",37,7,[ 2 78 24 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],28,0,0,0,0,0,5,1
A trendy tech product landing page,Chango,"#14af2f,#aac1d3,#5a7d0d,#1ecb92,#65c3d1",25,8,"[  2  68  10  17 154  42   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",34,0,0,0,0,0,5,1
An educational coding bootcamp site,Playwrite HU,"#54734d,#990d54,#b7cdfb,#14f0e1,#ddd5a3",82,23,"[  3  50 155 156   7   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,0
A nostalgic retro diner menu,Arbutus Slab,"#a64457,#3b020c,#237567,#262593,#58b81b",9,43,"[  2 157  34 158  18   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",28,0,0,0,0,0,5,1
A dynamic dance club flyer,Noto Serif KR,"#24012c,#d2b08f,#e6e979,#629c5c,#6fcc0e",68,11,"[  2  38 159  79   5   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",26,0,0,0,0,0,5,0
An inspiring book club brochure,Italiana,"#01e621,#1e404c,#382607,#4addc2,#da30b2",40,1,"[  3 160 161  79  12   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",31,0,0,0,0,0,5,1
A clean and simple portfolio site,Kurale,"#ebdfe3,#da14f7,#379a47,#5542cf,#dea7e5",47,61,"[  2  80  19 162  13   7   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,0
A chic jewelry brand ad,Mingzat,"#7a48a7,#8130bb,#f51aa4,#78e43a,#9f18db",56,35,[ 2 74 54 27  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],23,0,0,0,0,0,5,0
An artsy handmade crafts store flyer,Allura,"#bcc8a8,#dda9b6,#7875b5,#2d2be2,#9ec046",3,51,"[  3 163 164 165  21   5   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",36,0,0,0,0,0,5,1
A refreshing juice brand website,Noto Sans Symbols,"#365a26,#74633a,#d19e27,#61d4e7,#539c58",66,18,"[  2 166 167  27   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,0
A youthful college festival poster,Paprika,"#da3a4f,#dce9ff,#f679ac,#a322f1,#6beba5",75,57,"[  2  41 168  35   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",34,0,0,0,0,0,5,0
A modern co-working space brochure,Be Vietnam Pro,"#24012c,#d2b08f,#e6e979,#629c5c,#6fcc0e",14,11,"[  2   9 169 170 171  12   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",34,1,0,0,0,0,5,1
A motivational fitness challenge invite,Lacquer,"#6320bb,#4191f1,#236756,#8ce776,#8d281e",48,27,"[  2  78  37 172  26   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",39,0,0,0,0,0,5,0
A luxurious yacht rental website,Joan,"#365a26,#74633a,#d19e27,#61d4e7,#539c58",42,18,"[  2  70 173  43   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,1
A playful toy store ad,Big Shoulders Stencil Display,"#7a48a7,#8130bb,#f51aa4,#78e43a,#9f18db",16,35,"[  2  49 174  21   8   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",22,0,0,0,0,0,5,1
An elegant gala dinner invitation,Chau Philomene One,"#72cd2f,#740a52,#9b8003,#d0e3f2,#c5e6ab",26,34,"[  3  20 175 176  16   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,1,5,1
A quirky social media campaign poster,Lacquer,"#46a849,#6eac4e,#addaec,#9d7373,#0e389a",48,22,"[  2 177 178 179 180   6   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",37,0,0,0,0,0,5,0
A classic newspaper front page,Bungee Shade,"#007ea3,#c17232,#e69139,#ef5d01,#9a4509",19,0,"[  2  53 181 182  42   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",30,0,0,0,0,0,5,1
A bold automotive magazine cover,Rubik Mono One,"#3585f8,#911eaf,#83cf97,#737624,#3eeb02",85,16,"[  2  31 183 184  44   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,1,0,5,0
An earthy gardening supply brochure,Moirai One,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9",57,20,"[  3 185 186 187  12   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,0
A sleek digital product mockup site,Kaisei Opti,"#c80a93,#81095b,#b849c5,#59f514,#91128a",43,54,"[  2  33  57  17 188   7   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,1
A rustic wine tasting event flyer,BIZ UDPGothic,"#72cd2f,#740a52,#9b8003,#d0e3f2,#c5e6ab",11,34,"[  2  22  67 189  39   5   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,1
A futuristic tech webinar invite,Anta,"#7022d4,#c3ed5b,#22a4a4,#68fae9,#069176",7,30,"[  2  23  10 190  26   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,1
An artistic mural exhibition poster,Gotu,"#08990c,#02cf34,#c7d1a6,#adf2d2,#ef8969",35,6,"[  3  62 191 192   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,1
A modern student portal website,Caveat,"#365a26,#74633a,#d19e27,#61d4e7,#539c58",24,18,"[  2   9 193  63   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",31,1,0,0,0,0,5,1
A minimalist interior design blog,Almendra Display,"#bcc8a8,#dda9b6,#7875b5,#2d2be2,#9ec046",4,51,"[  2  28 194  25  11   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,1,0,0,0,5,1
A vibrant community outreach flyer,Fleur De Leah,"#716f9b,#c24746,#259a18,#23cebc,#48a532",31,32,"[  2  14  71 195   5   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",34,0,0,0,0,0,5,1
A classy personal chef menu,Micro 5 Charted,"#72cd2f,#740a52,#9b8003,#d0e3f2,#c5e6ab",55,34,"[  2 196  24 197  18   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",27,0,0,0,0,0,5,0
An adventurous scuba diving ad,Krub,"#c9add7,#1ec0d7,#96fb23,#2faf14,#56d8b8",46,55,"[  3  69 198 199   8   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",30,0,0,0,0,0,5,0
A calming yoga retreat flyer,Gayathri,"#a99d62,#b66e77,#788f18,#ffd8d7,#d41b7c",33,47,"[  2 200 201 202   5   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",28,0,0,0,0,0,5,1
A polished investment firm site,Sometype Mono,"#365a26,#74633a,#d19e27,#61d4e7,#539c58",88,18,"[  2 203 204 205   7   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",31,0,0,0,0,0,5,0
A vintage postcard design,Chau Philomene One,"#716f9b,#c24746,#259a18,#23cebc,#48a532",26,32,"[  2  45 206  25   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",25,0,0,1,0,0,5,1
A colorful children’s storybook cover,Gentium Book Plus,"#0580b1,#2a2e61,#35f598,#79f619,#946cdc",34,4,"[  2  32 207 208  44   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",37,0,0,0,0,0,5,1
A sleek urban car rental app,Alumni Sans Pinstripe,"#a99d62,#b66e77,#788f18,#ffd8d7,#d41b7c",5,47,[ 2 33 75 72 43 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0],28,0,0,0,0,0,5,1
A luxury perfume brand website,Sawarabi Mincho,"#7a48a7,#8130bb,#f51aa4,#78e43a,#9f18db",86,35,"[  2  58 209  27   4   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",30,0,0,0,0,0,5,0
A dynamic basketball game poster,Hachi Maru Pop,"#822a20,#af358d,#e4e786,#eefb5d,#b5bb06",36,36,"[  2  38 210  81   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,1
An elegant piano concert invitation,IBM Plex Sans,"#462b91,#d31764,#610119,#acfe40,#598044",38,21,"[  3  20 211  82  16   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,1,5,1
A clean charity fundraising flyer,Trirong,"#71c802,#1ba3fc,#dec294,#037e4b,#34236a",92,33,"[  2  80 212 213   5   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,0
A youthful online learning platform,Libre Bodoni,"#a6dc14,#be5cea,#1a4833,#6ac7c6,#3783e7",50,44,"[  2  41  64 214 215   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,0
A vibrant indie music album cover,Merriweather,"#bce76f,#437a9e,#691344,#617e9f,#a26837",54,52,"[  2  14 216  52 217  44   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,0,0,5,0
An eco-friendly tech product ad,Amiri Quran,"#08990c,#02cf34,#c7d1a6,#adf2d2,#ef8969",6,6,[ 3 59 60 10 17  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0],31,0,0,0,0,0,5,1
A modern industrial design portfolio,Style Script,"#01e621,#1e404c,#382607,#4addc2,#da30b2",89,1,"[  2   9 218  25  13   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",36,1,0,0,0,0,5,0
A stylish influencer’s personal site,Castoro Titling,"#e32d9a,#723cb0,#890386,#eb8089,#2d30c7",23,59,"[  2  61 219  24   7   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",36,0,0,0,0,0,5,1
A rustic cabin rental ad,Noto Sans Bamum,"#ca3fe2,#db71af,#6cc6bc,#3a867e,#d00335",60,56,"[  2  22 220  43   8   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",24,0,0,0,0,0,5,0
A cheerful holiday gift catalog,Namdhinggo,"#b96460,#563371,#b78936,#82dc2c,#28b34e",59,50,"[  2  55  76 221  40   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",31,0,0,0,0,0,5,0
A bold energy drink branding page,Ojuju,"#7a48a7,#8130bb,#f51aa4,#78e43a,#9f18db",73,35,"[  2  31  73 222 223  42   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",33,0,0,0,1,0,5,0
A serene nature photography blog,Noto Serif Lao,"#b5d05f,#04ada2,#e8fdf6,#7ec631,#b235cc",69,48,"[  2  65 224  29  11   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",32,0,0,0,0,0,5,0
A retro board game night invite,Nunito,"#98e74b,#20a3f4,#c4595f,#a43db6,#1ed60c",72,40,"[  2  34 225  81 226  26   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",31,0,0,0,0,0,5,0
An edgy rock concert poster,Smooch,"#bcc8a8,#dda9b6,#7875b5,#2d2be2,#9ec046",87,51,"[  3  77 227  82   6   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",27,0,0,0,0,0,5,0
A professional software agency site,Workbench,"#7022d4,#c3ed5b,#22a4a4,#68fae9,#069176",95,30,"[  2  30 228  36   7   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]",35,0,0,0,0,0,5,0
